Pla.,Horse No.,Horse,Horse URL,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds
1,1,ROMANTIC LAOS (G476),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G476,Z Purton,J Richards,135,1151,2,-,5 5 5 1,1:39.57,1.6
2,3,FEARLESS FIRE (B085),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2017_B085,L Currie,D A Hayes,129,1183,3,3/4,1 1 1 2,1:39.70,15.0
3,12,UNITED ENDEAVORS (G030),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G030,M L Yeung,L Ho,117,1097,5,3-1/2,4 4 2 3,1:40.14,19.0
4,6,PALACE PAL (G172),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G172,H Bowman,D J Hall,126,970,1,4-3/4,6 6 4 4,1:40.35,5.3
5,2,BLISSFUL STAR (E168),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E168,K Teetan,K H Ting,132,1120,8,5-1/4,3 3 6 5,1:40.42,11.0
6,10,PERFECT TO GREAT (D327),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2019_D327,M Chadwick,C Fownes,122,1205,7,5-3/4,10 10 11 6,1:40.48,16.0
7,8,KUNGFUMASTER PANDA (C153),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2018_C153,C L Chau,K L Man,122,1143,6,6-1/2,9 9 8 7,1:40.60,43.0
8,9,CHOICERUS (H029),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H029,L Hewitson,D J Whyte,122,1098,12,6-1/2,12 12 12 8,1:40.63,44.0
9,5,DARCI LEGEND (G376),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G376,C Y Ho,K W Lui,126,1068,9,8-1/4,11 11 10 9,1:40.89,19.0
10,7,GOLD STERLING (H032),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H032,A Badel,C H Yip,125,1126,11,10-1/4,7 7 7 10,1:41.19,81.0
11,4,RELIABLE PROFIT (G462),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G462,M F Poon,C S Shum,126,1156,10,15,2 2 3 11,1:41.96,99.0
12,11,JIANGXI STAMINA (D051),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2019_D051,H Bentley,W Y So,117,1194,4,30-1/2,8 8 9 12,1:44.45,72.0
