Pla.,Horse No.,Horse,Horse URL,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds
1,3,MEANINGFUL STAR (E230),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E230,C Y Ho,K W Lui,132,1152,6,-,3 3 2 2 1,1:49.27,5.3
2,2,ROCKET SPADE (G170),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G170,K H Chan,C Fownes,128,1149,4,SH,6 6 7 7 2,1:49.29,6.7
3,1,TIANCHI MONSTER (B350),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2017_B350,H Bowman,W Y So,135,1154,5,1,8 7 6 5 3,1:49.45,11.0
4,7,MAJESTIC VICTORY (E441),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E441,B Avdulla,A S Cruz,121,1032,11,1-1/4,5 5 5 6 4,1:49.46,8.1
5,5,TURIN MASCOT (H165),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H165,K Teetan,P C Ng,122,1097,8,1-3/4,7 8 8 8 5,1:49.53,27.0
6,11,YOUNG BRILLIANT (H135),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H135,A Badel,C H Yip,119,1134,10,1-3/4,2 1 1 1 6,1:49.54,17.0
7,12,SATIRICAL GLORY (H073),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H073,M F Poon,D A Hayes,115,1187,2,2-1/4,1 2 3 3 7,1:49.64,7.5
8,6,UP AND UP (H163),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H163,Z Purton,C S Shum,122,1064,7,3-1/2,10 9 10 10 8,1:49.81,6.2
9,8,PEGASUS GENERAL (G189),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G189,M Chadwick,K H Ting,121,984,1,3-1/2,4 4 4 4 9,1:49.84,5.6
10,9,HIT THE SHOT (E349),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E349,A Hamelin,J Size,120,1097,12,6-1/4,12 12 11 11 10,1:50.25,22.0
11,4,FLYING QUEST (A071),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2016_A071,L Ferraris,D J Hall,130,1058,3,8,9 10 9 9 11,1:50.56,24.0
12,10,VILLA FIONN (B339),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2017_B339,L Hewitson,P F Yiu,119,1053,9,10-1/2,11 11 12 12 12,1:50.95,66.0
