Pla.,Horse No.,Horse,Horse URL,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds
1,10,ALLOY KING (D287),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2019_D287,H Bentley,K H Ting,125,1104,1,-,3 2 1,1:09.87,6.4
2,4,THETA HEDGE (E307),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E307,C Y Ho,K W Lui,134,1012,2,3/4,1 1 2,1:09.98,3.6
3,6,DOUBLE SHOW (G250),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G250,L Hewitson,D J Whyte,131,1188,4,1-3/4,7 5 3,1:10.15,7.3
4,2,JACK WIN (G155),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G155,M Chadwick,A S Cruz,135,1251,7,2-3/4,8 8 4,1:10.31,6.1
5,5,VALHALLA (E495),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E495,L Ferraris,C Fownes,133,1168,6,4,2 3 5,1:10.50,7.7
6,1,BIRDSVILLE (E464),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E464,H Bowman,D A Hayes,135,1138,11,5,11 11 6,1:10.67,11.0
7,3,NORDIC COMBINED (G015),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G015,A Hamelin,R Gibson,135,1072,12,5-1/4,12 12 7,1:10.69,26.0
8,8,FORTUNE MASTER (D371),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2019_D371,K C Leung,J Richards,127,1071,5,6,5 7 8,1:10.83,15.0
9,7,NOIR RIDER (E138),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E138,Y L Chung,L Ho,123,1178,8,7,4 4 9,1:10.98,46.0
10,12,ENCORE (E450),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E450,K Teetan,C S Shum,118,1012,9,8-1/4,9 9 10,1:11.18,45.0
11,9,COMPULSORY (E328),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E328,A Badel,A T Millard,126,1131,10,8-1/2,10 10 11,1:11.24,33.0
12,11,CIRCUIT SPLENDOR (E482),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E482,M F Poon,T P Yung,117,1034,3,9-1/4,6 6 12,1:11.36,11.0
