Pla.,Horse No.,Horse,Horse URL,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds
1,4,SUPER COMMANDER (D350),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2019_D350,L Ferraris,P C Ng,131,1064,1,-,2 2 1,0:57.27,8.0
2,1,SAVVY DELIGHT (E386),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E386,Z Purton,J Size,135,1188,2,3/4,7 5 2,0:57.41,4.1
3,3,SUPER AXIOM (E105),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E105,M Chadwick,Y S Tsui,134,1239,12,1-1/2,1 1 3,0:57.51,8.4
4,6,KING INVINCIBLE (H199),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H199,K Teetan,F C Lor,129,1020,3,2-1/2,4 4 4,0:57.67,4.1
5,12,DIAMOND SOARS (G201),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G201,B Avdulla,P F Yiu,122,1184,11,4-1/4,3 3 5,0:57.93,15.0
6,10,OVERSUBSCRIBED (C361),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2018_C361,A Badel,D J Hall,126,1175,10,4-1/2,10 12 6,0:57.97,26.0
7,2,G ONE EXCELLENT (E359),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E359,C Y Ho,C S Shum,134,1214,8,4-1/2,9 9 7,0:58.00,4.2
8,8,PRESTIGE MOOCHI (H314),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H314,L Currie,J Richards,128,1079,4,6-1/2,12 10 8,0:58.29,74.0
9,7,HELLS BELLS (H280),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H280,L Hewitson,D J Whyte,128,1183,9,6-1/2,11 11 9,0:58.32,23.0
10,9,LIFE IS GOOD (H118),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H118,A Hamelin,R Gibson,127,1095,6,7,8 7 10,0:58.40,96.0
11,5,DIVINE ERA (D507),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2019_D507,K C Leung,K H Ting,129,1145,7,7-3/4,6 8 11,0:58.49,14.0
12,11,JOY IN JOY (H054),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H054,Y L Chung,C H Yip,116,1149,5,15-1/4,5 6 12,0:59.71,109.0
