Pla.,Horse No.,Horse,Horse URL,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds
1,4,THE HULK (C431),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2018_C431,L Currie,C Fownes,132,1122,4,-,1 1 1 1,1:40.46,15.0
2,8,NICE BIRDIE (G470),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G470,C L Chau,C S Shum,123,1117,2,2-1/4,5 5 5 2,1:40.81,10.0
3,10,MANAGEMENT FOLKS (E496),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_E496,M F Poon,D J Hall,119,1118,7,2-1/4,11 11 11 3,1:40.82,22.0
4,1,HOLY POWER (H039),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H039,Z Purton,J Richards,135,1107,3,2-1/2,4 4 4 4,1:40.84,2.1
5,9,BEAU GOSSE (G389),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G389,L Hewitson,D J Whyte,121,1086,5,3-1/4,8 8 8 5,1:40.97,17.0
6,7,HAPPY ANGEL (G133),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G133,A Badel,P C Ng,125,1088,12,3-1/2,2 2 2 6,1:41.03,7.0
7,2,WIN WIN FIGHTER (E347),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E347,C Y Ho,K W Lui,133,1071,9,3-3/4,6 6 7 7,1:41.07,12.0
8,12,RIGHT HONOURABLE (A164),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2016_A164,A Hamelin,R Gibson,120,1043,10,4,9 9 9 8,1:41.11,34.0
9,11,V CHEVALIERS (C358),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2018_C358,M Chadwick,K L Man,121,1105,1,6,3 3 3 9,1:41.43,7.8
10,5,ULTRA EXPRESS (D161),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2019_D161,R Maia,A T Millard,127,1091,6,6-1/4,10 10 10 10,1:41.44,55.0
11,3,KING'S CAPITAL (E077),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E077,H Bowman,D A Hayes,132,1062,8,6-1/4,7 7 6 11,1:41.46,14.0
12,6,COPARTNER ERA (C534),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2018_C534,K Teetan,W Y So,125,1123,11,9,12 12 12 12,1:41.92,64.0
