Pla.,Horse No.,Horse,Horse URL,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds
1,11.0,EASON (G061),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G061,A Badel,F C Lor,119,1138,9,-,10 9 1,1:09.53,17
2,6.0,HOWDEEPISYOURLOVE (H093),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H093,K Teetan,J Size,128,1175,6,SH,6 5 2,1:09.55,2.1
3,12.0,HARMONY AND RICH (D110),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2019_D110,L Hewitson,D A Hayes,119,1135,1,1/2,2 1 3,1:09.62,6.8
4,8.0,ADIOS (G338),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G338,K C Leung,F C Lor,123,1159,7,3/4,4 3 4,1:09.64,10
5,2.0,MAJESTIC STAR (E203),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E203,Z Purton,C S Shum,134,1323,10,2-1/4,12 10 5,1:09.88,18
6,3.0,WHIZZ KID (E392),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E392,B Avdulla,A S Cruz,132,1146,5,2-1/2,1 2 6,1:09.92,26
7,9.0,ATOMIC FORCE (G221),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G221,H Bentley,C Fownes,120,1144,11,2-3/4,11 7 7,1:09.96,19
8,10.0,GRATEFUL HEART (D278),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2019_D278,M Chadwick,W Y So,120,1112,2,3-1/2,7 8 8,1:10.09,24
9,1.0,COMPUTER PATCH (D139),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2019_D139,A Hamelin,K H Ting,135,1093,12,3-3/4,3 4 9,1:10.14,77
10,7.0,PACKING TREADMILL (G161),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G161,H Bowman,K W Lui,128,1187,8,6-1/4,9 11 10,1:10.51,5.1
11,4.0,IMA SINGLE MAN (D476),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2019_D476,Y L Chung,A S Cruz,123,1183,4,6-3/4,8 12 11,1:10.60,25
12,5.0,KEEP YOU WARM (D272),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2019_D272,M L Yeung,K W Lui,116,1151,3,8,5 6 12,1:10.82,51
WV,,ASTROLOGER (G102),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G102,L Ferraris,P C Ng,128,---,---,---,---,---,---
