Pla.,Horse No.,Horse,Horse URL,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds
1,4.0,E UNIVERSE (H151),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H151,H Bowman,K L Man,132,1009,8,-,1 1 1,1:10.29,5.4
2,11.0,YOUNG LIFE FOREVER (G308),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G308,H Bentley,C Fownes,125,1210,6,3-1/4,5 2 2,1:10.83,7
3,8.0,HAPPY SOUL (G249),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G249,K Teetan,C S Shum,129,1068,10,3-1/4,12 10 3,1:10.83,24
4,3.0,LIKE THAT (D328),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2019_D328,K C Leung,F C Lor,134,1165,2,3-1/2,4 5 4,1:10.85,11
5,10.0,SPEEDY CHARIOT (H193),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H193,L Hewitson,D J Whyte,125,1100,9,3-1/2,8 9 5,1:10.86,15
6,9.0,SUPER DOBBIN (D352),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2019_D352,R Maia,A T Millard,126,1074,1,3-3/4,2 3 6,1:10.88,20
7,12.0,SURE JOYFUL (G125),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G125,B Avdulla,P F Yiu,121,1052,7,3-3/4,9 4 7,1:10.90,8.1
8,5.0,TRAVEL GOLF (H063),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H063,C Y Ho,C H Yip,132,1061,4,4-1/2,7 7 8,1:11.01,4.1
9,2.0,HARMONY N HOME (C531),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2018_C531,Z Purton,C S Shum,134,1065,3,4-1/2,6 8 9,1:11.01,4
10,7.0,TACTICAL COMMAND (H197),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H197,Y L Chung,R Gibson,121,1061,5,7,3 6 10,1:11.41,168
11,6.0,SUPER ELITE (H247),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H247,M Chadwick,P F Yiu,128,1089,12,8-1/4,11 11 11,1:11.59,70
12,1.0,G LINER (H072),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H072,C L Chau,T P Yung,133,1182,11,10-1/4,10 12 12,1:11.95,139
WV,,CHEONG FAT (H058),/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H058,A Hamelin,L Ho,127,---,---,---,---,---,---
